shop,menu,format,base,milk,liquid,flavor,toppings,tops
FIFTYLAN Washington Square Park,Chocolate Milk,milk,milk,1,chocolate,chocolate,0,unspecified
Teado Tea Shop,Chocolate Milk,milk,milk,1,chocolate,chocolate,0,unspecified
Ten Ren's Tea Time,Chocolate Milk,milk,milk,1,chocolate,chocolate,0,unspecified
Boba Fries,Chocolate Latte,coffee,milk,1,chocolate,chocolate,0,unspecified
Shiny Tea,Chocolate,chocolate,other,0,chocolate,chocolate,0,unspecified
Debutea,Cherry Blossom Oolong Tea Latte,oolong tea,milk,1,Cherry Blossom,flower,0,unspecified
Tea Magic,Chai Milk Tea,tea,tea,1,0,milk,0,unspecified
Kung Fu Tea,Chai Milk,milk,milk,1,0,milk,0,unspecified
Debutea,Chacha Melon,drink,drink,0,melon,fruit,0,unspecified
Kung Fu Tea,Cappuccino,coffee,milk,0,0,milk,0,unspecified
Boba Fries,Caffinate,drink,drink,0,0,undefined,0,unspecified
Dragon Tea,Café Americano,coffee,coffee,0,0,undefined,0,unspecified
OJBK Tea Shop,Brownrice Milk Tea,tea,tea,1,Milk,milk,0,unspecified
Mr. Wish,Black Tiger Milk,black tea,tea,1,0,milk,undefined toppings,unspecified
Tea and Milk,Black Teamonade (Arnold Palmer),drink,drink,0,0,undefined,undefined toppings,unspecified
Coco Fresh Tea & Juice,Black Tea Latte,black tea,milk,1,0,milk,0,unspecified
Debutea,Black Tea Latte,black tea,milk,1,0,milk,0,unspecified
Gong Cha,Black Tea Latte,black tea,milk,1,0,milk,0,unspecified
PaTea,Black Tea Latte,black tea,milk,1,0,milk,0,unspecified
Shiny Tea,Black Tea Latte,black tea,milk,1,0,milk,0,unspecified
Song Tea,Black Tea Latte,black tea,milk,1,0,milk,0,unspecified
Tiger Sugar,Black Tea,black tea,tea,0,0,undefined,0,unspecified
PaTea,Black Rose Latte,black tea,milk,1,rose,flower,0,unspecified
Gong Cha,Black Milk Tea,black tea,tea,1,0,milk,0,unspecified
PaTea,Black Babo Milk,milk,milk,1,0,milk,tapioca ball,tapioca ball
PaTea,Black and Yellow Milk,milk,milk,1,0,milk,0,unspecified
PaTea,Assam Tea,tea,tea,1,0,milk,0,unspecified
Teazzi Tea Shop,Amber Oolong Tea,Oolong tea,tea,0,0,undefined,0,unspecified
